Index,Uydu Adı,Pozisyon,LNB High,LNB Low,Internal ID
0,"TURKSAT 2A, 3A",42.0E,10600,9750,0x2
1,"HOTBIRD 6,7A,8",13.0E,10600,9750,0x0
2,Others,0.0E,5150,5150,0xff
3,,6553.5E,65535,65535,0xff
4,,6553.5E,65535,65535,0xff
5,,6553.5E,65535,65535,0xff
6,,6553.5E,65535,65535,0xff
7,,6553.5E,65535,65535,0xff
8,,6553.5E,65535,65535,0xff
9,,6553.5E,65535,65535,0xff
10,,6553.5E,65535,65535,0xff
11,,6553.5E,65535,65535,0xff
12,,6553.5E,65535,65535,0xff
13,,6553.5E,65535,65535,0xff
14,,6553.5E,65535,65535,0xff
15,,6553.5E,65535,65535,0xff
16,,6553.5E,65535,65535,0xff
17,,6553.5E,65535,65535,0xff
18,,6553.5E,65535,65535,0xff
19,,6553.5E,65535,65535,0xff
20,,6553.5E,65535,65535,0xff
21,,6553.5E,65535,65535,0xff
22,,6553.5E,65535,65535,0xff
23,,6553.5E,65535,65535,0xff
24,,6553.5E,65535,65535,0xff
25,,6553.5E,65535,65535,0xff
26,,6553.5E,65535,65535,0xff
27,,6553.5E,65535,65535,0xff
28,,6553.5E,65535,65535,0xff
29,,6553.5E,65535,65535,0xff
30,,6553.5E,65535,65535,0xff
31,,6553.5E,65535,65535,0xff
32,,6553.5E,65535,65535,0xff
33,,6553.5E,65535,65535,0xff
34,,6553.5E,65535,65535,0xff
35,,6553.5E,65535,65535,0xff
36,,6553.5E,65535,65535,0xff
37,,6553.5E,65535,65535,0xff
38,,6553.5E,65535,65535,0xff
39,,6553.5E,65535,65535,0xff
40,,6553.5E,65535,65535,0xff
41,,6553.5E,65535,65535,0xff
42,,6553.5E,65535,65535,0xff
43,,6553.5E,65535,65535,0xff
44,,6553.5E,65535,65535,0xff
45,,6553.5E,65535,65535,0xff
46,,6553.5E,65535,65535,0xff
47,,6553.5E,65535,65535,0xff
48,,6553.5E,65535,65535,0xff
49,,6553.5E,65535,65535,0xff
50,,6553.5E,65535,65535,0xff
51,,6553.5E,65535,65535,0xff
52,,6553.5E,65535,65535,0xff
53,,6553.5E,65535,65535,0xff
54,,6553.5E,65535,65535,0xff
55,,6553.5E,65535,65535,0xff
56,,6553.5E,65535,65535,0xff
57,,6553.5E,65535,65535,0xff
58,,6553.5E,65535,65535,0xff
59,,6553.5E,65535,65535,0xff
60,,6553.5E,65535,65535,0xff
61,,6553.5E,65535,65535,0xff
62,,6553.5E,65535,65535,0xff
63,,6553.5E,65535,65535,0xff
64,,6553.5E,65535,65535,0xff
65,,6553.5E,65535,65535,0xff
66,,6553.5E,65535,65535,0xff
67,,6553.5E,65535,65535,0xff
68,,6553.5E,65535,65535,0xff
69,,6553.5E,65535,65535,0xff
70,,6553.5E,65535,65535,0xff
71,,6553.5E,65535,65535,0xff
72,,6553.5E,65535,65535,0xff
73,,6553.5E,65535,65535,0xff
74,,6553.5E,65535,65535,0xff
75,,6553.5E,65535,65535,0xff
76,,6553.5E,65535,65535,0xff
77,,6553.5E,65535,65535,0xff
78,,6553.5E,65535,65535,0x0
79,?,6553.5E,16128,3,0xff
80,?,0.0E,65535,65535,0x0
